Unnamed: 0,filename,candidates,choices,gamma,og_irv,og_condorcet,og_plurality,Bvote_free_irv,Bvote_free_condorcet,Bvote_free_plurality,Tvote_free_irv,Tvote_free_condorcet,Tvote_free_plurality,bullet_votes,voluntarily_truncated_votes,total_votes,level,gamma_complete,complete_ballots_count
201,NewYorkCity_06222021_DEMCouncilMember45thCouncilDistrict.csv,3,4,0.92947584,Farah N. Louis,Farah N. Louis,Farah N. Louis,Farah N. Louis,Farah N. Louis,Farah N. Louis,Farah N. Louis,Farah N. Louis,Farah N. Louis,10204,12581.0,19270,LOCAL,0.7968306174316041,6689.0
202,NewYorkCity_06222021_DEMCouncilMember46thCouncilDistrict.csv,8,5,0.63560104,Mercedes Narcisse,Mercedes Narcisse,Mercedes Narcisse,Mercedes Narcisse,Mercedes Narcisse,Mercedes Narcisse,,,,6051,,18477,LOCAL,,
203,NewYorkCity_06222021_DEMCouncilMember47thCouncilDistrict.csv,4,5,0.76352531,Ari Kagan,Ari Kagan,Ari Kagan,Ari Kagan,Ari Kagan,Ari Kagan,Ari Kagan,Ari Kagan,Ari Kagan,3543,5846.0,8022,LOCAL,0.25827205882352944,2176.0
204,NewYorkCity_06222021_DEMCouncilMember48thCouncilDistrict.csv,5,5,0.71461189,Steven Saperstein,Steven Saperstein,Steven Saperstein,Steven Saperstein,Steven Saperstein,Steven Saperstein,Steven Saperstein,Steven Saperstein,Steven Saperstein,2967,7559.0,9198,LOCAL,0.12080536912751678,1639.0
205,NewYorkCity_06222021_DEMCouncilMember49thCouncilDistrict.csv,9,5,0.54372817,Kamillah Hanks,Kamillah Hanks,Kamillah Hanks,Kamillah Hanks,Kamillah Hanks,Kamillah Hanks,,,,3458,,13744,LOCAL,,
206,NewYorkCity_06222021_DEMCouncilMember5thCouncilDistrict.csv,7,5,0.67428684,Julie Menin,Julie Menin,Julie Menin,Julie Menin,Julie Menin,Julie Menin,,,,7311,,25415,LOCAL,,
207,NewYorkCity_06222021_DEMCouncilMember6thCouncilDistrict.csv,6,5,0.73084438,Gale A. Brewer,Gale A. Brewer,Gale A. Brewer,Gale A. Brewer,Gale A. Brewer,Gale A. Brewer,,,,14123,,39401,LOCAL,0.031344356578001435,6955.0
208,NewYorkCity_06222021_DEMCouncilMember7thCouncilDistrict.csv,12,5,0.58662874,Shaun Abreu,Shaun Abreu,Shaun Abreu,Shaun Abreu,Shaun Abreu,Shaun Abreu,,,,6064,,23214,LOCAL,,
209,NewYorkCity_06222021_DEMCouncilMember8thCouncilDistrict.csv,4,5,0.7518816,Diana I. Ayala,Diana I. Ayala,Diana I. Ayala,Diana I. Ayala,Diana I. Ayala,Diana I. Ayala,Diana I. Ayala,Diana I. Ayala,Diana I. Ayala,4835,7680.0,11692,LOCAL,0.335493519441675,4012.0
210,NewYorkCity_06222021_DEMCouncilMember9thCouncilDistrict.csv,13,5,0.52576035,Kristin Richardson Jordan,Kristin Richardson Jordan,Bill Perkins,Kristin Richardson Jordan,Kristin Richardson Jordan,Kristin Richardson Jordan,,,,5963,,25679,LOCAL,,
211,NewYorkCity_06222021_DEMMayorCitywide.csv,13,5,0.46266127,Eric L. Adams,Eric L. Adams,Eric L. Adams,Kathryn A. Garcia,-1,Eric L. Adams,,,,127422,,944261,LOCAL,,
212,NewYorkCity_06222021_DEMPublicAdvocateCitywide.csv,3,4,0.89846742,Jumaane D. Williams,Jumaane D. Williams,Jumaane D. Williams,Jumaane D. Williams,Jumaane D. Williams,Jumaane D. Williams,Jumaane D. Williams,Jumaane D. Williams,Jumaane D. Williams,459281,553388.0,814832,LOCAL,0.6835574731108766,261444.0
213,NewYorkCity_06222021_REPBoroughPresidentRichmond.csv,4,5,0.84187448,Vito Fossella,Vito Fossella,Vito Fossella,Steven Matteo,Steven Matteo,Vito Fossella,Steven Matteo,Steven Matteo,Steven Matteo,7537,14612.0,19611,LOCAL,0.4962992598519704,4999.0
214,NewYorkCity_06222021_REPCouncilMember50thCouncilDistrict.csv,5,5,0.77151197,David M. Carr,David M. Carr,Marko Kepi,David M. Carr,David M. Carr,David M. Carr,David M. Carr,David M. Carr,David M. Carr,4101,6846.0,8565,LOCAL,0.17510180337405468,1719.0
215,Oakland_04152025_CityCouncilD2.csv,6,5,0.778447387,CHARLENE WANG,CHARLENE WANG,CHARLENE WANG,CHARLENE WANG,CHARLENE WANG,CHARLENE WANG,,,,3589,,12611,LOCAL,0.06928213689482471,2396.0
216,Oakland_04152025_Mayor.csv,10,5,0.793965225,BARBARA LEE,BARBARA LEE,BARBARA LEE,BARBARA LEE,BARBARA LEE,BARBARA LEE,,,,37167,,94552,LOCAL,,
217,Oakland_11022010_CityCouncilDistrict4.csv,7,3,0.84913939,LIBBY SCHAAF,LIBBY SCHAAF,LIBBY SCHAAF,LIBBY SCHAAF,LIBBY SCHAAF,LIBBY SCHAAF,,,,4040,,20973,LOCAL,,
