filename,diff,linearvotersfailure,gamma,null_gamma,mirror,choices,candidates,level,partisan,type,irv1,irv2,condorcet1,plurality1,approval1irv2,condorcet2,plurality2,approval2,approval1,polarization,median_voter_distance,median_voter_preference_distance,bimodality,partisan2
Alaska_11082022_SenateDistrictN.csv,['Approval'],no,0.87059641,,,,3,STATE,YES,S,"Wilson, David S.","Wilson, David S.","Wilson, David S.","Wilson, David S.",,"Wilson, David S.","Wilson, David S.","Wright, Stephen","Wilson, David S.",0.47047046,0.37098023,0.47598839,2.7269957,1
Alaska_11082022_SenateDistrictO.csv,[],no,1,,,,2,STATE,YES,S,"Shower, Michael K.","Shower, Michael K.","Shower, Michael K.","Shower, Michael K.",,"Shower, Michael K.","Shower, Michael K.","Shower, Michael K.","Shower, Michael K.",0.994995,0.44213599,0,,1
Alaska_11082022_SenateDistrictP.csv,[],no,0.8864556,,,,3,STATE,YES,S,"Kawasaki, Scott","Kawasaki, Scott","Kawasaki, Scott","Kawasaki, Scott",,"Kawasaki, Scott","Kawasaki, Scott","Matherly, Jim","Matherly, Jim",0.98398399,0.47446194,0.65279967,3.1170959,1
Alaska_11082022_SenateDistrictQ.csv,[],no,0.90888804,,YES,,3,STATE,YES,S,"Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.",,"Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.",0.993994,0.021213401,0,2.1045742,1
Alaska_11082022_SenateDistrictR.csv,[],no,0.91031516,,,,3,STATE,YES,S,"Bishop, Click","Bishop, Click","Bishop, Click","Bishop, Click",,"Bishop, Click","Bishop, Click","Bishop, Click","Bishop, Click",0.43143144,0.15904613,0,1.9899117,1
Alaska_11082022_SenateDistrictS.csv,[],no,1,,,,2,STATE,YES,S,"Hoffman, Lyman F.","Hoffman, Lyman F.","Hoffman, Lyman F.","Hoffman, Lyman F.",,"Hoffman, Lyman F.","Hoffman, Lyman F.","Hoffman, Lyman F.","Hoffman, Lyman F.",0.995996,0.22965117,0,,1
Alaska_11082022_USRepresentative.csv,[],no,0.85950381,,YES,,4,FEDERAL,YES,R,"Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.",,"Peltola, Mary S.","Peltola, Mary S.","Begich, Nick","Begich, Nick",0.97097099,0.31553781,0.31553781,2.2792301,1
Alaska_11082022_USSenator.csv,[],no,0.8947562,,YES,,4,FEDERAL,YES,S,"Murkowski, Lisa","Murkowski, Lisa","Murkowski, Lisa","Murkowski, Lisa",,"Murkowski, Lisa","Murkowski, Lisa","Murkowski, Lisa","Murkowski, Lisa",0.76376379,0.39525065,0.41552889,3.0931847,1
Albany_11082022_BoardofEducation.csv,[],no,0.68710524,,,,4,LOCAL,NO,B,RON ROSENBAUM,RON ROSENBAUM,RON ROSENBAUM,RON ROSENBAUM,,RON ROSENBAUM,RON ROSENBAUM,RON ROSENBAUM,RON ROSENBAUM,0.095095098,0.11811411,0.018024703,3.138176,0
Albany_11082022_CityCouncil.csv,[],no,0.42024156,,,,5,LOCAL,NO,R,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI,,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI,0.18118118,0.017688651,0,1.5775117,0
Berkeley_03072017_CityCouncilDistrict4.csv,[],no,1,,,,2,LOCAL,NO,R,KATE HARRISON,KATE HARRISON,KATE HARRISON,KATE HARRISON,,KATE HARRISON,KATE HARRISON,KATE HARRISON,KATE HARRISON,0.993994,0.28506312,0,,0
Berkeley_11022010_CityCouncilDistrict1.csv,[],no,0.90872318,,,,4,LOCAL,NO,R,LINDA MAIO,LINDA MAIO,LINDA MAIO,LINDA MAIO,,LINDA MAIO,LINDA MAIO,LINDA MAIO,LINDA MAIO,0.1011011,0,0,0.95530349,0
Berkeley_11022010_CityCouncilDistrict4.csv,[],no,0.86288118,,,,4,LOCAL,NO,R,JESSE ARREGUIN,JESSE ARREGUIN,JESSE ARREGUIN,JESSE ARREGUIN,,JESSE ARREGUIN,JESSE ARREGUIN,JESSE ARREGUIN,JESSE ARREGUIN,0.3073073,0.15278566,0,2.1387618,0
Berkeley_11022010_CityCouncilDistrict7.csv,['Approval'],no,0.74910051,,,,3,LOCAL,NO,R,KRISS WORTHINGTON,KRISS WORTHINGTON,KRISS WORTHINGTON,KRISS WORTHINGTON,,KRISS WORTHINGTON,KRISS WORTHINGTON,CECILIA ''CES'' ROSALES,KRISS WORTHINGTON,0.97497499,0.31481481,0.4952684,1.9151299,0
Berkeley_11022010_CityCouncilDistrict8.csv,[],no,0.81851852,,,,3,LOCAL,NO,R,GORDON WOZNIAK,GORDON WOZNIAK,GORDON WOZNIAK,GORDON WOZNIAK,,GORDON WOZNIAK,GORDON WOZNIAK,GORDON WOZNIAK,GORDON WOZNIAK,0.97497499,0.2094035,0,0.68128705,0
Berkeley_11032020_MayorBerkeleyRCV.csv,[],no,0.8385781,,,,4,LOCAL,NO,E,JESSE ARREGUÍN,JESSE ARREGUÍN,JESSE ARREGUÍN,JESSE ARREGUÍN,,JESSE ARREGUÍN,JESSE ARREGUÍN,JESSE ARREGUÍN,JESSE ARREGUÍN,0.22922923,0,0,1.2540995,0
Berkeley_11032020_MemberCityCouncilDist2BerkeleyRCV.csv,[],no,0.77812994,,,,4,LOCAL,NO,R,TERRY TAPLIN,TERRY TAPLIN,TERRY TAPLIN,TERRY TAPLIN,,TERRY TAPLIN,TERRY TAPLIN,TERRY TAPLIN,TERRY TAPLIN,0.32532531,0,0,3.3825257,0
Berkeley_11032020_MemberCityCouncilDist3BerkeleyRCV.csv,[],no,0.90539837,,,,3,LOCAL,NO,R,BEN BARTLETT,BEN BARTLETT,BEN BARTLETT,BEN BARTLETT,,BEN BARTLETT,BEN BARTLETT,BEN BARTLETT,BEN BARTLETT,0.4054054,0.09044911,0,1.2603396,0
Berkeley_11032020_MemberCityCouncilDist5BerkeleyRCV.csv,[],no,0.89278227,,,,3,LOCAL,NO,R,SOPHIE HAHN,SOPHIE HAHN,SOPHIE HAHN,SOPHIE HAHN,,SOPHIE HAHN,SOPHIE HAHN,SOPHIE HAHN,SOPHIE HAHN,0.4024024,0.017427387,0,1.2646065,0
Berkeley_11032020_MemberCityCouncilDist6BerkeleyRCV.csv,[],no,1,,,,2,LOCAL,NO,R,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,0.994995,0.09205021,0,,0
Berkeley_11042014_CityCouncilDistrict1.csv,[],no,0.93896967,,,,3,LOCAL,NO,R,LINDA MAIO,LINDA MAIO,LINDA MAIO,LINDA MAIO,,LINDA MAIO,LINDA MAIO,LINDA MAIO,LINDA MAIO,0.38438439,0.028544873,0,2.808989,0
Berkeley_11042014_CityCouncilDistrict7.csv,[],no,1,,,,2,LOCAL,NO,R,KRISS WORTHINGTON,KRISS WORTHINGTON,KRISS WORTHINGTON,KRISS WORTHINGTON,,KRISS WORTHINGTON,KRISS WORTHINGTON,KRISS WORTHINGTON,KRISS WORTHINGTON,0.993994,0.38873628,0,,0
Berkeley_11042014_CityCouncilDistrict8.csv,[],no,0.80145758,,,,4,LOCAL,NO,R,LORI DROSTE,LORI DROSTE,LORI DROSTE,LORI DROSTE,,LORI DROSTE,LORI DROSTE,LORI DROSTE,LORI DROSTE,0.3003003,0.21351403,0.29876933,3.209013,0
Berkeley_11062012_CityCouncilDistrict2.csv,[],no,0.91354614,,,,3,LOCAL,NO,R,DARRYL MOORE,DARRYL MOORE,DARRYL MOORE,DARRYL MOORE,,DARRYL MOORE,DARRYL MOORE,DARRYL MOORE,DARRYL MOORE,0.54554552,0.18916851,0,1.020007,0
Berkeley_11062012_CityCouncilDistrict3.csv,[],no,1,,,,2,LOCAL,NO,R,MAX ANDERSON,MAX ANDERSON,MAX ANDERSON,MAX ANDERSON,,MAX ANDERSON,MAX ANDERSON,MAX ANDERSON,MAX ANDERSON,0.995996,0.28678736,0,,0
Berkeley_11062012_CityCouncilDistrict5.csv,[],no,1,,,,2,LOCAL,NO,R,LAURIE CAPITELLI,LAURIE CAPITELLI,LAURIE CAPITELLI,LAURIE CAPITELLI,,LAURIE CAPITELLI,LAURIE CAPITELLI,LAURIE CAPITELLI,LAURIE CAPITELLI,0.995996,0.390625,0,,0
Berkeley_11062012_CityCouncilDistrict6.csv,[],no,1,,,,2,LOCAL,NO,R,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,0.1961962,0,0,,0
Berkeley_11062012_Mayor.csv,[],no,0.85551387,,,,7,LOCAL,NO,E,TOM BATES,TOM BATES,TOM BATES,TOM BATES,,TOM BATES,TOM BATES,TOM BATES,TOM BATES,0.54754752,0,0,0.032532517,0
Berkeley_11062018_CityAuditor.csv,[],no,1,,,,2,LOCAL,NO,O,JENNY WONG,JENNY WONG,JENNY WONG,JENNY WONG,,JENNY WONG,JENNY WONG,JENNY WONG,JENNY WONG,0.2112112,0,0,,0
