filename,#candidates,choices,null_gamma,permissive_gamma,strict_gamma
Oakland_11022010_CityCouncilDistrict4.csv,7,3.0,0.7643,0.84913937,0.273208411
Oakland_11022010_CityCouncilDistrict6.csv,3,3.0,0.8748,0.820018651,0.773624495
Oakland_11022010_Mayor.csv,10,3.0,0.711311311,0.768744882,0.185719299
Oakland_11022010_SchoolDirectorDistrict4.csv,2,3.0,1.0,1.0,1.0
Oakland_11032020_CityAttorneyOaklandRCV.csv,2,5.0,1.0,1.0,1.0
Oakland_11032020_MemberCityCouncilAtLargeOaklandRCV.csv,3,5.0,0.897897898,0.877497388,0.856818206
Oakland_11032020_MemberCityCouncilDist1OaklandRCV.csv,3,5.0,0.9013,0.869124424,0.795283275
Oakland_11032020_MemberCityCouncilDist3OaklandRCV.csv,6,5.0,0.2244,0.561540708,0.396307233
Oakland_11032020_MemberCityCouncilDist5OaklandRCV.csv,3,5.0,0.8761,0.852951115,0.836731246
Oakland_11032020_MemberCityCouncilDist7OaklandRCV.csv,5,5.0,0.325974026,0.485817589,0.343891633
Oakland_11032020_SchoolDirectorDist1OaklandRCV.csv,3,5.0,0.873273273,0.936720608,0.926570385
Oakland_11032020_SchoolDirectorDist3OaklandRCV.csv,5,5.0,0.331731732,0.565364847,0.414356141
Oakland_11032020_SchoolDirectorDist5OaklandRCV.csv,4,5.0,0.60960961,0.660214552,0.585704291
Oakland_11032020_SchoolDirectorDist7OaklandRCV.csv,5,5.0,0.362,0.521027148,0.375387629
Oakland_11042014_CityAuditor.csv,2,3.0,1.0,1.0,1.0
Oakland_11042014_CityCouncilDistrict2.csv,5,3.0,0.8085,0.842372881,0.50036846
Oakland_11042014_CityCouncilDistrict4.csv,3,3.0,0.868668669,0.932486593,0.900649167
Oakland_11042014_CityCouncilDistrict6.csv,5,3.0,0.8225,0.884636022,0.585494545
Oakland_11042014_Mayor.csv,16,3.0,0.7148,0.78096467,0.252878957
Oakland_11042014_SchoolDirectorDistrict2.csv,2,3.0,1.0,1.0,1.0
Oakland_11042014_SchoolDirectorDistrict4.csv,4,3.0,0.8061,0.854151177,0.635068154
Oakland_11042014_SchoolDirectorDistrict6.csv,2,3.0,1.0,1.0,1.0
Oakland_11062012_CityAttorney.csv,2,3.0,1.0,1.0,1.0
Oakland_11062012_CityCouncilAtLarge.csv,5,3.0,0.803696304,0.845628983,0.578802993
Oakland_11062012_CityCouncilDistrict1.csv,7,3.0,0.7695,0.812390803,0.3520861
Oakland_11062012_CityCouncilDistrict3.csv,6,3.0,0.758558559,0.805534135,0.366024042
Oakland_11062012_CityCouncilDistrict5.csv,4,3.0,0.8291,0.890435245,0.676801702
Oakland_11062012_CityCouncilDistrict7.csv,3,3.0,0.861738262,0.898140124,0.868008799
Oakland_11062012_SchoolDirectorDistrict1.csv,2,3.0,1.0,1.0,1.0
Oakland_11062012_SchoolDirectorDistrict3.csv,3,3.0,0.8723,0.819783527,0.760374703
Oakland_11062012_SchoolDirectorDistrict5.csv,2,3.0,1.0,1.0,1.0
Oakland_11062012_SchoolDirectorDistrict7.csv,2,3.0,1.0,1.0,1.0
Oakland_11062018_CityAuditor.csv,2,3.0,1.0,1.0,1.0
Oakland_11062018_CityCouncilDistrict2.csv,3,3.0,0.8762,0.948683772,0.931546627
Oakland_11062018_CityCouncilDistrict4.csv,7,3.0,0.7424,0.804977447,0.281158503
Oakland_11062018_CityCouncilDistrict6.csv,5,3.0,0.7787,0.841937647,0.545926919
Oakland_11062018_Mayor.csv,10,3.0,0.7525,0.797998832,0.33164999
Oakland_11062018_SchoolDirectorDistrict4.csv,2,3.0,1.0,1.0,1.0
Oakland_11062018_SchoolDirectorDistrict6.csv,2,3.0,1.0,1.0,1.0
